2300,-0.0,-0.0,0.0,0.00,0
2316,-0.0,0.1,0.1,0.00,0
2330,0.1,0.4,0.3,0.01,0
2344,0.5,1.7,1.2,0.02,0
2359,1.5,3.7,2.2,0.06,0
2373,3.2,6.2,3.0,0.10,0
2388,5.6,5.5,-0.1,0,0.00
2403,6.2,5.0,-1.2,0,0.02
2417,5.9,4.5,-1.4,0,0.04
2432,5.3,4.0,-1.3,0,0.06
2446,4.7,3.5,-1.2,0,0.08
2460,4.2,3.1,-1.1,0,0.09
2475,3.8,2.8,-1.0,0,0.11
2489,3.3,2.5,-0.9,0,0.12
2503,3.0,2.2,-0.8,0,0.13
2518,2.6,1.9,-0.7,0,0.14
2532,2.4,1.7,-0.7,0,0.15
2547,2.1,1.5,-0.6,0,0.16
2562,1.9,1.3,-0.6,0,0.17
2576,1.6,1.1,-0.5,0,0.18
2590,1.4,1.0,-0.5,0,0.18
2605,1.2,0.8,-0.4,0,0.19
2619,1.1,0.7,-0.4,0,0.20
2633,0.9,0.6,-0.4,0,0.20
2648,0.8,0.5,-0.3,0,0.21
2662,0.7,0.4,-0.3,0,0.21
2676,0.6,0.3,-0.2,0,0.21
2691,0.5,0.2,-0.2,0,0.22
2705,0.4,0.2,-0.2,0,0.22
2766,0.3,0.0,-0.2,0.02,0
2782,-0.0,-0.2,-0.1,0.02,0
2796,-0.2,-0.1,0.1,0.02,0
2810,-0.1,0.9,1.0,0.03,0
2825,0.7,2.3,1.6,0.06,0
2840,2.4,5.1,2.7,0.10,0
2854,4.6,4.5,-0.1,0,0.00
2869,5.2,4.1,-1.1,0,0.02
2883,5.0,3.7,-1.3,0,0.04
2897,4.5,3.3,-1.2,0,0.05
2912,4.0,2.9,-1.1,0,0.07
2926,3.5,2.6,-1.0,0,0.08
2940,3.2,2.3,-0.9,0,0.10
2955,2.8,2.0,-0.8,0,0.11
2969,2.5,1.8,-0.7,0,0.12
2983,2.2,1.5,-0.7,0,0.13
2998,1.9,1.3,-0.6,0,0.14
3013,1.7,1.2,-0.5,0,0.15
3027,1.5,1.0,-0.5,0,0.15
3042,1.3,0.9,-0.4,0,0.16
3056,1.1,0.7,-0.4,0,0.16
3070,1.0,0.6,-0.3,0,0.17
3085,0.8,0.5,-0.3,0,0.17
3099,0.7,0.4,-0.3,0,0.18
3113,0.6,0.3,-0.2,0,0.18
3128,0.5,0.3,-0.2,0,0.19
3142,0.4,0.2,-0.2,0,0.19
3156,0.3,0.1,-0.2,0,0.19
3171,0.2,0.1,-0.2,0,0.19
3232,0.2,-0.0,-0.2,0.01,0
3247,-0.1,-0.2,-0.1,0.01,0
3262,-0.3,-0.2,0.2,0.02,0
3276,-0.2,0.9,1.0,0.03,0
3291,0.6,2.4,1.8,0.06,0
3305,2.3,5.0,2.8,0.10,0
3320,4.5,4.4,-0.1,0,0.00
3335,5.1,4.0,-1.1,0,0.02
3349,4.8,3.6,-1.3,0,0.04
3363,4.3,3.2,-1.2,0,0.05
3378,3.9,2.8,-1.1,0,0.07
3392,3.4,2.5,-1.0,0,0.08
3406,3.1,2.2,-0.9,0,0.09
3421,2.7,1.9,-0.8,0,0.11
3435,2.4,1.7,-0.7,0,0.12
3449,2.1,1.4,-0.7,0,0.13
3464,1.9,1.3,-0.6,0,0.14
3479,1.7,1.1,-0.6,0,0.15
3493,1.5,0.9,-0.5,0,0.15
3508,1.3,0.8,-0.5,0,0.16
3522,1.1,0.7,-0.4,0,0.17
3536,1.0,0.6,-0.4,0,0.17
3551,0.8,0.5,-0.4,0,0.18
3565,0.7,0.4,-0.3,0,0.18
3579,0.6,0.3,-0.3,0,0.19
3594,0.5,0.2,-0.3,0,0.19
3608,0.4,0.1,-0.2,0,0.19
3622,0.3,0.1,-0.2,0,0.20
3637,0.2,0.0,-0.2,0,0.20
3698,0.2,-0.1,-0.3,0.02,0
3713,-0.2,-0.3,-0.1,0.02,0
3728,-0.3,-0.2,0.1,0.02,0
3742,-0.2,0.8,1.0,0.04,0
3757,0.6,2.3,1.7,0.06,0
3771,2.2,4.9,2.7,0.10,0
3786,4.5,4.4,-0.1,0,0.00
3801,5.1,4.0,-1.1,0,0.02
3815,4.8,3.5,-1.2,0,0.04
3829,4.3,3.1,-1.2,0,0.05
3844,3.8,2.8,-1.1,0,0.07
3858,3.4,2.5,-1.0,0,0.08
3872,3.1,2.2,-0.9,0,0.10
3887,2.7,1.9,-0.8,0,0.11
3901,2.4,1.7,-0.7,0,0.12
3915,2.1,1.5,-0.7,0,0.13
3930,1.9,1.3,-0.6,0,0.14
3944,1.7,1.1,-0.6,0,0.15
3959,1.5,0.9,-0.5,0,0.15
3974,1.3,0.8,-0.5,0,0.16
3988,1.1,0.7,-0.4,0,0.17
4002,1.0,0.6,-0.4,0,0.17
4017,0.8,0.5,-0.3,0,0.18
4031,0.7,0.4,-0.3,0,0.18
4045,0.6,0.3,-0.3,0,0.19
4060,0.5,0.2,-0.2,0,0.19
4074,0.4,0.2,-0.2,0,0.19
4088,0.3,0.1,-0.2,0,0.20
4103,0.2,0.0,-0.2,0,0.20
4164,0.1,-0.0,-0.2,0.01,0
4178,-0.2,-0.2,-0.1,0.01,0
4194,-0.4,-0.2,0.2,0.02,0
4208,-0.2,0.9,1.1,0.03,0
4222,0.6,2.6,2.0,0.06,0
4237,2.2,5.0,2.8,0.11,0
4252,4.4,4.4,0.0,0,0.00
4267,5.0,4.0,-1.0,0,0.01
4281,4.7,3.6,-1.2,0,0.03
4295,4.3,3.2,-1.1,0,0.05
4310,3.8,2.8,-1.0,0,0.06
4324,3.4,2.5,-0.9,0,0.07
4338,3.0,2.2,-0.8,0,0.09
4353,2.7,1.9,-0.7,0,0.10
4367,2.3,1.7,-0.7,0,0.11
4381,2.1,1.5,-0.6,0,0.12
4396,1.8,1.3,-0.6,0,0.12
4410,1.6,1.1,-0.5,0,0.13
4424,1.4,0.9,-0.5,0,0.14
4440,1.2,0.8,-0.4,0,0.14
4454,1.0,0.7,-0.4,0,0.15
4468,0.9,0.5,-0.4,0,0.16
4483,0.8,0.4,-0.3,0,0.16
4497,0.6,0.3,-0.3,0,0.17
4511,0.5,0.3,-0.3,0,0.17
4526,0.4,0.2,-0.3,0,0.17
4540,0.4,0.1,-0.2,0,0.18
4554,0.3,0.1,-0.2,0,0.18
4569,0.2,0.0,-0.2,0,0.18
4630,0.1,-0.2,-0.3,0.02,0
4644,-0.2,-0.4,-0.2,0.02,0
4660,-0.4,-0.3,0.0,0.02,0
4674,-0.2,0.9,1.1,0.04,0
4688,0.6,3.0,2.4,0.08,0
4703,2.0,4.8,2.8,0.12,0
4717,4.3,4.3,-0.1,0,0.00
4732,4.9,3.9,-1.0,0,0.02
4747,4.6,3.4,-1.2,0,0.03
4761,4.1,3.0,-1.1,0,0.05
4775,3.7,2.7,-1.0,0,0.06
4790,3.3,2.4,-0.9,0,0.08
4804,2.9,2.1,-0.8,0,0.09
4818,2.6,1.8,-0.8,0,0.10
4833,2.3,1.6,-0.7,0,0.11
4847,2.0,1.4,-0.6,0,0.12
4861,1.8,1.2,-0.6,0,0.13
4876,1.6,1.0,-0.6,0,0.14
4891,1.4,0.9,-0.5,0,0.14
4905,1.2,0.7,-0.5,0,0.15
4920,1.0,0.6,-0.4,0,0.16
4934,0.9,0.5,-0.4,0,0.16
4948,0.8,0.4,-0.4,0,0.17
4963,0.6,0.3,-0.3,0,0.17
4977,0.5,0.2,-0.3,0,0.18
4992,0.4,0.2,-0.3,0,0.18
5006,0.4,0.1,-0.3,0,0.19
5020,0.3,0.1,-0.2,0,0.19
